# range, measurement
0.000,0.000
0.050,0.000
0.100,0.000
0.150,0.000
0.200,0.000
0.250,0.000
0.300,0.000
0.350,0.000
0.400,0.000
0.450,0.000
0.500,0.000
0.550,0.000
0.600,0.000
0.650,0.000
0.700,0.000
0.750,0.000
0.800,0.000
0.850,0.000
0.900,0.000
0.950,0.000
1.000,0.000
1.050,0.000
1.100,0.000
1.150,0.000
1.200,0.000
1.250,0.000
1.300,0.000
1.350,0.000
1.400,0.000
1.450,0.000
1.500,0.000
1.550,0.000
1.600,0.000
1.650,0.000
1.700,0.000
1.750,0.000
1.800,0.000
1.850,0.000
1.900,0.000
1.950,0.000
2.000,0.000
2.050,0.000
2.100,0.000
2.150,0.000
2.200,0.000
2.250,0.000
2.300,0.000
2.350,0.000
2.400,0.000
2.450,0.000
2.500,0.000
2.550,0.000
2.600,0.000
2.650,0.000
2.700,0.000
2.750,0.000
2.800,0.000
2.850,0.000
2.900,0.000
2.950,0.000
3.000,0.000
3.050,0.000
3.100,0.000
3.150,0.000
3.200,0.000
3.250,0.000
3.300,0.000
3.350,0.000
3.400,0.000
3.450,0.000
3.500,0.000
3.550,0.000
3.600,0.000
3.650,0.000
3.700,0.000
3.750,0.000
3.800,0.000
3.850,0.000
3.900,0.000
3.950,0.000
4.000,0.000
4.050,0.000
4.100,0.000
4.150,0.000
4.200,0.000
4.250,0.000
4.300,0.000
4.350,0.000
4.400,0.000
4.450,0.000
4.500,0.000
4.550,0.000
4.600,0.000
4.650,0.000
4.700,0.000
4.750,0.000
4.800,0.000
4.850,0.000
4.900,0.000
4.950,0.000
5.001,0.000
5.051,0.000
5.101,0.000
5.151,0.000
5.201,0.000
5.251,0.000
5.301,0.000
5.351,0.000
5.401,0.000
5.451,0.000
5.501,0.000
5.551,0.000
5.601,0.000
5.651,0.000
5.701,0.000
5.751,0.000
5.801,0.000
5.851,0.000
5.901,0.000
5.951,0.000
6.001,0.000
6.051,0.000
6.101,0.000
6.151,0.000
6.201,0.000
6.251,0.000
6.301,0.000
6.351,0.000
6.401,0.000
6.451,0.000
6.501,0.000
6.551,0.000
6.601,0.000
6.651,0.000
6.701,0.000
6.751,0.000
6.801,0.000
6.851,0.000
6.901,0.000
6.951,0.000
7.001,0.000
7.051,0.000
7.101,0.000
7.151,0.000
7.201,0.000
7.251,0.000
7.301,0.000
7.351,0.000
7.401,0.000
7.451,0.000
7.501,0.000
